city,latitude,longitude
Atlanta,33.749,-84.388
Baltimore,39.2904,-76.6122
Boston,42.3601,-71.0589
Brooklyn,40.7128,-74.006
Buffalo,42.8864,-78.8784
Capital,38.9027,-77.0369
Charlotte,35.2271,-80.8431
Chicago,41.8781,-87.6298
Cincinnati,39.1031,-84.512
Cleveland,41.4993,-81.6944
Dallas,32.7767,-96.797
Denver,39.7392,-104.9903
Detroit,42.3314,-83.0458
Fort Wayne,41.0793,-85.1394
Ft. Wayne Zollner,41.0793,-85.1394
Golden State,37.7749,-122.4194
Houston,29.7604,-95.3698
Indiana,39.7684,-86.1581
Kansas City,39.0997,-94.5786
Kansas City-Omaha,39.0997,-94.5786
Los Angeles,34.0522,-118.2437
Memphis,35.1495,-90.049
Miami,25.7617,-80.1918
Milwaukee,43.0389,-87.9065
Minneapolis,44.9778,-93.265
Minnesota,44.9778,-93.265
New Jersey,40.0583,-74.4057
New Orleans,29.9511,-90.0715
New York,40.7128,-74.006
Oklahoma City,35.4676,-97.5164
Orlando,28.5383,-81.3792
Philadelphia,39.9526,-75.1652
Phoenix,33.4484,-112.074
Portland,45.5152,-122.6784
Rochester,43.1566,-77.6088
Sacramento,38.5816,-121.4944
San Antonio,29.4241,-98.4936
San Diego,32.7157,-117.1611
San Francisco,37.7749,-122.4194
Seattle,47.6062,-122.3321
St. Louis,38.627,-90.1994
Syracuse,43.0481,-76.1474
Toronto,43.6532,-79.3832
Utah,40.7608,-111.891
Vancouver,49.2827,-123.1207
Washington,38.9072,-77.0369
