year,teamId,teamName,teamCity
1949,1610612747,Lakers,Minneapolis
1950,1610612747,Lakers,Minneapolis
1951,1610612758,Kings (Royals),Rochester
1952,1610612747,Lakers,Minneapolis
1953,1610612747,Lakers,Minneapolis
1954,1610612747,Lakers,Minneapolis
1955,1610612755,76ers (Nationals),Syracuse
1956,1610612744,Warriors,Philadelphia
1957,1610612738,Celtics,Boston
1958,1610612737,Hawks,St. Louis
1959,1610612738,Celtics,Boston
1960,1610612738,Celtics,Boston
1961,1610612738,Celtics,Boston
1962,1610612738,Celtics,Boston
1963,1610612738,Celtics,Boston
1964,1610612738,Celtics,Boston
1965,1610612738,Celtics,Boston
1966,1610612738,Celtics,Boston
1967,1610612755,76ers (Nationals),Philadelphia
1968,1610612738,Celtics,Boston
1969,1610612738,Celtics,Boston
1970,1610612752,Knicks,New York
1971,1610612749,Bucks,Milwaukee
1972,1610612747,Lakers,Los Angeles
1973,1610612752,Knicks,New York
1974,1610612738,Celtics,Boston
1975,1610612744,Warriors,Golden State
1976,1610612738,Celtics,Boston
1977,1610612757,Trail Blazers,Portland
1978,1610612764,Wizards (Bullets),Washington
1979,1610612760,Thunder (SuperSonics),Seattle
1980,1610612747,Lakers,Los Angeles
1981,1610612738,Celtics,Boston
1982,1610612747,Lakers,Los Angeles
1983,1610612755,76ers (Nationals),Philadelphia
1984,1610612738,Celtics,Boston
1985,1610612747,Lakers,Los Angeles
1986,1610612738,Celtics,Boston
1987,1610612747,Lakers,Los Angeles
1988,1610612747,Lakers,Los Angeles
1989,1610612765,Pistons,Detroit
1990,1610612765,Pistons,Detroit
1991,1610612741,Bulls,Chicago
1992,1610612741,Bulls,Chicago
1993,1610612741,Bulls,Chicago
1994,1610612745,Rockets,Houston
1995,1610612745,Rockets,Houston
1996,1610612741,Bulls,Chicago
1997,1610612741,Bulls,Chicago
1998,1610612741,Bulls,Chicago
1999,1610612759,Spurs,San Antonio
2000,1610612747,Lakers,Los Angeles
2001,1610612747,Lakers,Los Angeles
2002,1610612747,Lakers,Los Angeles
2003,1610612759,Spurs,San Antonio
2004,1610612765,Pistons,Detroit
2005,1610612759,Spurs,San Antonio
2006,1610612748,Heat,Miami
2007,1610612759,Spurs,San Antonio
2008,1610612738,Celtics,Boston
2009,1610612747,Lakers,Los Angeles
2010,1610612747,Lakers,Los Angeles
2011,1610612742,Mavericks,Dallas
2012,1610612748,Heat,Miami
2013,1610612748,Heat,Miami
2014,1610612759,Spurs,San Antonio
2015,1610612744,Warriors,Golden State
2016,1610612739,Cavaliers,Cleveland
2017,1610612744,Warriors,Golden State
2018,1610612744,Warriors,Golden State
2019,1610612761,Raptors,Toronto
2020,1610612747,Lakers,Los Angeles
2021,1610612749,Bucks,Milwaukee
2022,1610612744,Warriors,Golden State
2023,1610612743,Nuggets,Denver
2024,1610612738,Celtics,Boston
2025,1610612760,Thunder (SuperSonics),Oklahoma City
